Word,Meaning,Exemple,Type
Sconce,Un chandelier mural,"In the second room, a robot was fixing a sconce on the opposite wall",N
Swivel,"Pivoter, tourner, faire pivoter, basculer","Take this piece and swivel it through 180 degrees, so that we can attach it to the other one",V
Sputter,"Bafouiller, avoir des ratés, toussoter, postillonner",We thought we were doomed when we heard the car's motor sputtering,V
Sprig,"Une branche, un brin, une brindille","If it were me, I would have added a sprig of thym, said the mother with a twisted mouth",N
Stanch,"Etancher, arreter","If we act now, it may be possible to stanch the war and its casualties",V
Sparse,"Clairsemé, rare","Here and there, sparse piles of junk were trying to lure us into scavenging",A
Shrewd,"Avisé, sagace, sage",I spent several nights listening to the Pole’s stories and shrewd advices,A
Sidle,"Se ranger, s'installer","The young man siddled next to the blonde girl at dinner, a hint of lust in his eyes",V
Stammer,"Bégayer, balbutier, bafouiller","Set on fire by anger, the man cursed at us all along, still stammering as usual",V
Slaver,"Saliver, baver","In his couch, the dog watched us eat slavering, his saliva drooling on the floor by heavy drips",V
Thicket,"Un fourré, un bosquet",The rabbit ran and hid in a thicket,N
Trail,"Le sentier, la piste",We followed him down the trail,N
Tine,Un dent ( mécanique ),See the tines on the rotating clock,N
Tinkling,Un tintement,All we could hear as this point was the tinkling of his fingers.,N
Touchstone,La pierre angulaire,This film had been the touchstone of the zombie movie genre,N
Tatters,"Des miettes, des lambeaux, des loques, des haillons",Falling before the race made the athlete's confidence in tatters,N
Tourney,Un tournoi,The biggest prizes are not always in the biggest tourneys,N
Tedious,"Fastidieux, pénible, ennuyeux",Life is not meant for having a tedious work,A
Trim,"Couper, tailler, réduire, garnir, décorer",My neighbors always trim their hedges on Tuesdays,V
Trencher,"Une trancheuse, un plat ( type plateau a fromage )",There was more cheese on this trencher than I ever saw,N
Thaw,"Dégeler, décongeler, fondre","If the product become frozen, thaw it to keep it working",V
Tend,"Soigner, garder, tendre à",Women tend to live longer than men,V
Tiresome,"Fastidieux, ennuyeux, fatigant",The journey was very long and tiresome for us all.,A
Tumble,"Tomber, faire des roulades, dégringoler",I held my breath while the dices were tumbling in front of me,V
Timorous,"Craintif, timide","A timorous pup was alone, far from his brothers and sisters",A
Trickle,"Ruisseler, couler goutte à goutte, dégoutter, dégouliner","Drops trickled down on the floor, falling of the spilled bottle on the table",V
Throb,Palpiter,"My palms were throbbing with pain,  but I kept going thought",V
Titter,"Pousser de petits cris, ricaner",Students tends to titter when the teacher mispronounces a name,V
Taut,"Tendu, étiré, raide","The rabbit was already skinned, and his pelt was stretched taut over a wire ",A
Timbered,A colombage,"The hall was splendid. Adorned lamps across timbered walls, nice rugs and all",A
Trifle,Une bagatelle,"I'm wealthy as in ""Buying this huge mansion will not make me a trifle poorer""",N
Topple,"Renverser, basculer, faire tomber, s'éffondrer, s'écrouler, détrôner","Not all demonstrations tend to topple the government, but some are ",V
Turnip,Un navet,I think the first vegetable to can grow in Stardew Valley is turnip,N
Throttle,"Etrangler, mettre au ralenti","All I wanted to do right now was throttling him, but I stayed calm and keep listening",V
Trestle,"Un chevalet, un treteau",Painters use trestles to hold their boards when they are painting,N
Terraced,"En terasse, terassé","A terraced castle and some good lands around, that's all I desire",A
Twine,"Tisser, entortiller, tresser, nater","I twined the wires together, and when the ends touched a spark went off",V
Throng of,Une foule de,"Throngs of people were gathering at the city gates, pushing the door to enter",N
Tidbit,Une friandise,"He gave us this information as a tidbit to make him appear friendly, but I suspect him",N
Tally,"Un compte, un relevé",Here you can see a tally of all the successfull transactions of the country,N
Tuft,Une touffe,"Tufts of hair were rolling on the house floor, just as tumbleweeds would do",N
Tomcat,"Un matou, un chat mâle",I often wondered what it'd be like to be a tomcat and wander at night with my siblings,N
Thoroughly,"A fond, soigneusement, entièrement, exhaustivement, totalement","Until the crime scene is thoroughly examined, no one expect the detective is allowed",A
Tremulous,"Chevrotant, tremblotant","Shivering in fear, she asked us to leave in a tremulous ineffective voice",A
Tang,"La soie, un goût / une odeur forte","Probably due to the poison in their plates, our guests found that the dinner had a little tang.",N
Turnkey,Clé en main,This website provides turnkey services at low cost,A
Talon,"An animal's claw, a claw-shaped object","The poor thing was bleeding, severely injured on the talon of his right leg",N
Toady,Flatteur,"We needed these gears, so we started talking and trading with her in a very toady way",A
Taper,"Un cierge, une chandelle, un effilement","Probably washing away his sins, the boy with the dark hair lit a taper and prayed",N
Tousled,Décoiffé,"Peter have tousled purple hair, you can’t miss him",A
Treed,Boisé,"I woke up, not knowing where exactly I was, all I was seeing from the window was treed lanscapes",A
Utterly,"Absolument, carrément, purement, radicalement, fermement","Your behavior is utterly inacceptable, young lady !",A
Unyielding,"Indéfectible, inflexible, intransigeant","Despite all my efforts, he remainded unyielding",A
Uproar,"Un tumulte, un tollé, une agitation, un tapage",A global uproar came from the back of the room,N
Ungainly,"Disgracieux, gauche, maladroit","Beavers may appear ungainly on land, but are very swift in water",A
Unbidden,"Spontané, de son propre chef","I didn't think about that for two days, when those images came unbidden in my head",A
Unadorned,"Sobrement, sans fioriture","An unadorned black suit is perfect for job interviews, weddings or funerals",A
Usher,"Conduire, accompagner",The bailiff ushered the prisoner into his cell and locked the door with one of the keys,V
Upend,"Retourner, compromettre","As he was upending my bag, I saw my things fall, break and shatter all over the floor",V
Unkempt,Mal tenu,"The subject 0022, with the unkempt fair hair and green eyes, died in the process",A
Unctuous,Oncteux,"She took a sip of the sweet, unctuous-looking brewage.",A
Velvet,"Velours, un velouté",He was wearing black velvet trousers and a silly hat,A
Veer,"Dévier, tourner, virer, changer de cap","That navigator was known to never let his ship veer from its course, no matter the weather",V
Vouch,"Garantir, témoigner, répondre de","I never saw or heard that man before today, so I can only vouch for him the few I can",V
Veil,"Un voile, un écran, une voilette",It took us two years to entrust him and break our veil of suspicions,N
Vex,"Contrarier, vexer","You don't want to vex us, do you ? If not, please concurr with our rules and everything will be fine",V
Vista,"Une vue, un panorama, une perspective",There's no better vista of the domain than the one you have from the eastern hill's tower,N
Whimper,"Gémissement, plainte",I heard a whimper and saw that my dog was in pain,N
Whelp,Mettre bas,The dog whelped in the cellar,V
Whelp,"Une portée, le jeune animal qui vient de naître",I came in the cellar to see the whelps ,N
Worship,"Un culte, une adoration",They were in the middle of a disturbing worship session.,N
Wistfully,"Nostalgiquement, avec mélancolie","Once again, he was staring at the skies, wistfully",A
Wisp,"Une trainée, une volute, un brin, une mèche","He had been constantly smoking, always surrounded with smoke wisps",N
Waddle,"Dandiner, un dandinement","Some animals waddle, such as penguins or porcupines",V
Wrought,"Forgé, faconné",COVID-19 has wrought deep changes in lifestyles,A
Wrench,"Arracher, déménager",She rushed to him and wrenched the phone away from his hands,V
Whisker,"Une moustache, un cheveu",Cats have sensitive whiskers which sharpen their senses,N
Wry,"Ironique, sardonique","He was always wearing a wry smile, so I never trusted him",A
Wailing,"Un gémissement, une plainte, un cri",Wailings and weepings are all you can expect from him !,N
Weave,"Tisser, tresser, zigzaguer, tramer ","Her dress was proof of a great wealth, wonderfully woven",V
Wretched,"Misérable, malheureux, triste, pitoyable","All his life, it was like he was struggling to keep his life as wretched as possible",A
Whinny,Hennir,"Her horse whinnied all night, afraid of the raging storm",V
Wick,Une mèche,The most curious thing with this lamp is that there's no wick on it,N
Windpipe,La trachée,"As the liquid flowed in my windpipe, I started to feel better",N
Wedge,"Une cale de porte, une part, un morceau","Would you like another wedge of my cake, sir ?",N
Wheedle,"Amadouer, persuader",She's the kind of girl who can wheedle to get what she wants,V
Welt,"Une marque, une zébrure, une bordure","Judging by the welts on his hands, he must have had a tedious work back then",N
Wriggle,"Se tortiller, gigoter, frétiller, germer",Try to espace the killer's grasp by wriggling while you are being carried,V
Wholly,"Pleinement, en tout, entièrement, complètement","If I would win the jackpot, i think I won't have it wholly spent until several years",A
Wince,"Grimacer, sourciller, tressaillir","No, you're not suspect, but I admit that there is one thing that made me wince, sir",V
Wondrous,Merveilleux,"Weddings, births, parties are supposed to be wondrous events, right ?",A
Whoop,Hurler,"Each time I appear on stage, the fans start whooping and shit",V
Wonderment,"Un émerveillement, un questionnage",The crisis began with the wonderment of how could the food be missing,N
Weary,"Las, fatigué, épuisé, fatigant","On the bench, weary gladiators were sitting, polishing their swords for the next round",A
Wretch,Un pauvre,"Among the street, an uncountable amount of beggars, wretches and sluts lived",N
Winch,"Un treuil, une manivelle",I gave the winch a couple yanks and the lift started to move,N
Whim,"Un caprice, une lubie",I'm afraid that this sudden appetence you have for comics is just a passing whim,N
Warren,Un dédale,"The lord's mansion was a real warren, with the same corridors and the same doors everywhere",N
Windmill,Touner en moulinet,"As I moved closer, I noticed the boat's propeller slowly windmilling, someone was definititely here",V
Winkle,"Extraire, obtenir quelque chose avec difficulté","It wasn't my plan to let it out, but she managed to winkle it from me without me noticing",V
Whence,D'ou,"""Go back whence you came from, filthy creature"" ! he says while sticking his sword through the monster",A
Wreath,"Enrouler, arranger des choses en cercle","As a final hommage, we wreathed the ground where he died with flowers and rifle bullets",V
Writhe,"Se tordre, se tortiller, se contorsionner","As I writhed in the air vent above the dining room, I suddenly heard two voices talking",V
Weaned,Sevré,Piglets are not weaned until they reach their 9 months ( clearly untrue fact ),A
Wroth,Irrité,"Suddenly wroth with our questionning, the bartender twisted his mouth and asked us to leave.",A
Wiry,"Dru, tortillé, semblable a un fil",I noticed a wiry hair on his head and gave a yank to remove it,A
Woe,"Un malheur, un déboire","""Woe to you if you dare to enter here"" was written on a sign next to the entrance",N
Withered,"Fané, flétri","Either someone isn’t a gardener, either nobody went here in a while, because all the flowers are withered",A
Wont,Habitué,"Don't worry about him, he will endure his work as he is wont to do",A
Wight,Un esprit d'un mort revenu à la vie,"In this specific tale, the villain is a wight of a man who had been tortured his whole life",N
Yank,Un coup sec ,"After a couple of yanks, the rope came free",N
Yearn,Aspirer,"She yearned for a simple life, but it wasn't what destiny gave her.",V
Yelp,"Glapir, japper, crier","As soon as the fox showed up, the mother yelped loudly to warn her pups",V
